# LHCb B -> K (a ->) mu mu excluded-region boundary, GKOZ re-interpretation
# Extracted from arXiv:2310.03524v3 / LHCb-constraints.pdf (dark-blue solid contour)
# Date: 2026-07-10
# Source y axis is 2 v_h/f_GKOZ (v_h = 246 GeV); converted here to the
# BC10 package convention 1/f_BNT = 2/f_GKOZ, i.e. invf = y_source/246.
# The excluded region lies above each chain; chains are clipped at the
# source frame top (invf = 3.25e-3) and left edge (m_a = 0.3 GeV).
# Gaps along the top edge are the LHCb charmonium veto windows.
# Format: chains separated by blank line; each row is "mass_GeV  invf_GeV_inv"
# mass_GeV  invf_GeV_inv
# chain 0: 89 vertices
1.71084e+00  7.28403e-07
1.71283e+00  7.28403e-07
1.71384e+00  7.51043e-07
1.71683e+00  7.51043e-07
1.71785e+00  7.74498e-07
1.71984e+00  7.74498e-07
1.72085e+00  7.98724e-07
1.75283e+00  7.98724e-07
1.75384e+00  7.74498e-07
1.75684e+00  7.74498e-07
1.75786e+00  7.51043e-07
1.75883e+00  7.28403e-07
1.75985e+00  7.06344e-07
1.76086e+00  7.06344e-07
1.76183e+00  6.85051e-07
1.79183e+00  6.85051e-07
1.79284e+00  7.06344e-07
1.83682e+00  7.06344e-07
1.83783e+00  6.85051e-07
1.84582e+00  6.85051e-07
1.84683e+00  6.64273e-07
1.85481e+00  6.64273e-07
1.85583e+00  6.85051e-07
1.86183e+00  6.85051e-07
1.86284e+00  7.06344e-07
1.86381e+00  7.06344e-07
1.86483e+00  6.85051e-07
1.90682e+00  6.85051e-07
1.90783e+00  6.64273e-07
1.93280e+00  6.64273e-07
1.93382e+00  6.44156e-07
1.94881e+00  6.44156e-07
1.94983e+00  6.24738e-07
1.96681e+00  6.24738e-07
1.96783e+00  6.44156e-07
1.98882e+00  6.44156e-07
1.98979e+00  6.24738e-07
2.01978e+00  6.24738e-07
2.02080e+00  6.44156e-07
2.03082e+00  6.44156e-07
2.03179e+00  6.24738e-07
2.05079e+00  6.24738e-07
2.05181e+00  6.44156e-07
2.15379e+00  6.44156e-07
2.15476e+00  6.24738e-07
