# SHiP BC4 dark-scalar sensitivity
# PUBLISHED SOURCE (cite this): arXiv:2310.17726 (PBC, Post-LS3 Options in
# ECN3), Fig 9-PhysicsPotential/BC4.pdf, red SHiP curve.
# Traced from the identical, cleaner two-colour rendering in
# arXiv:2504.06692 figs/BC4.pdf (SHiP source figure, commented out of the
# published PDF); verified to overlay the 2310.17726 SHiP contour.
# Date: 2026-07-11
# Source y axis is theta^2 (= sin^2 theta at these mixings).
# Clipped to the figure frame m_S in [0.1, 5.5] GeV.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 627 vertices
6.204326e-01  1.470471e-11
6.153345e-01  1.492230e-11
6.128215e-01  1.502965e-11
6.119251e-01  1.506703e-11
6.101006e-01  1.514741e-11
6.004051e-01  1.558131e-11
5.952388e-01  1.581635e-11
5.882402e-01  1.615322e-11
5.846793e-01  1.631913e-11
5.790268e-01  1.660295e-11
5.687313e-01  1.714046e-11
5.646260e-01  1.735586e-11
5.632330e-01  1.742745e-11
5.603499e-01  1.758272e-11
5.532045e-01  1.799165e-11
5.478744e-01  1.829417e-11
5.466318e-01  1.836964e-11
5.419779e-01  1.864674e-11
5.370195e-01  1.894952e-11
5.329347e-01  1.920266e-11
5.309834e-01  1.932569e-11
5.256270e-01  1.967716e-11
5.255047e-01  1.968833e-11
5.202382e-01  2.003503e-11
5.184196e-01  2.015767e-11
5.146775e-01  2.041678e-11
5.096848e-01  2.077041e-11
5.042790e-01  2.116617e-11
4.993746e-01  2.153279e-11
4.930518e-01  2.203984e-11
4.905280e-01  2.224882e-11
4.893666e-01  2.234694e-11
4.862587e-01  2.261494e-11
4.795911e-01  2.319349e-11
4.771679e-01  2.341843e-11
4.719577e-01  2.389174e-11
4.699990e-01  2.407726e-11
4.683367e-01  2.423839e-11
4.641562e-01  2.464423e-11
4.605951e-01  2.499471e-11
4.517623e-01  2.590479e-11
4.514957e-01  2.593420e-11
4.513793e-01  2.594156e-11
4.510565e-01  2.597658e-11
4.453047e-01  2.664113e-11
4.425061e-01  2.697405e-11
4.391987e-01  2.737509e-11
4.337965e-01  2.804163e-11
4.317303e-01  2.830752e-11
4.272224e-01  2.891043e-11
4.252831e-01  2.916800e-11
4.204051e-01  2.983792e-11
4.155726e-01  3.052533e-11
4.124906e-01  3.097702e-11
4.087407e-01  3.154040e-11
4.042507e-01  3.222821e-11
4.007089e-01  3.279573e-11
3.935873e-01  3.412275e-11
3.932274e-01  3.418821e-11
3.928057e-01  3.427323e-11
3.856352e-01  3.571065e-11
3.825047e-01  3.636012e-11
3.783407e-01  3.726657e-11
3.744743e-01  3.812248e-11
3.720867e-01  3.867829e-11
3.711563e-01  3.888194e-11
3.691245e-01  3.937057e-11
3.641205e-01  4.057604e-11
3.619374e-01  4.113260e-11
3.572300e-01  4.235889e-11
3.563160e-01  4.258192e-11
3.520680e-01  4.374264e-11
3.504581e-01  4.419501e-11
3.476796e-01  4.522288e-11
3.444301e-01  4.653150e-11
3.424790e-01  4.735090e-11
3.385620e-01  4.903323e-11
3.345924e-01  5.081857e-11
3.331401e-01  5.150101e-11
3.327718e-01  5.167305e-11
3.322104e-01  5.194512e-11
3.270996e-01  5.445121e-11
3.247196e-01  5.568602e-11
3.240532e-01  5.602688e-11
3.215268e-01  5.737874e-11
3.196098e-01  5.842229e-11
3.173951e-01  5.968353e-11
3.160384e-01  6.045071e-11
3.152272e-01  6.093741e-11
3.119357e-01  6.289237e-11
3.106411e-01  6.370080e-11
3.066314e-01  6.627373e-11
3.053386e-01  6.710658e-11
3.032733e-01  6.855530e-11
3.001365e-01  7.071942e-11
2.982701e-01  7.319048e-11
2.962402e-01  7.608721e-11
2.944935e-01  7.874583e-11
2.924164e-01  8.188565e-11
2.901439e-01  8.557472e-11
2.888845e-01  8.849564e-11
2.886132e-01  9.045115e-11
2.882005e-01  9.353852e-11
2.874704e-01  9.919902e-11
2.869663e-01  1.038963e-10
2.861560e-01  1.104341e-10
2.860822e-01  1.111968e-10
2.860275e-01  1.116001e-10
