# ANUBIS HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
5.2250  1.566e-08  9.167e-07
5.2300  1.562e-08  9.084e-07
5.2350  1.557e-08  9.002e-07
5.2400  1.553e-08  8.920e-07
5.2450  1.548e-08  8.839e-07
5.2500  1.544e-08  8.760e-07
5.2550  1.540e-08  8.680e-07
5.2600  1.535e-08  8.602e-07
5.2650  1.531e-08  8.524e-07
5.2700  1.527e-08  8.448e-07
5.2750  1.522e-08  8.372e-07
5.2800  1.518e-08  8.296e-07
5.2850  1.514e-08  8.222e-07
5.2871  1.512e-08  8.191e-07
5.2900  1.509e-08  8.148e-07
5.2950  1.505e-08  8.075e-07
5.3000  1.501e-08  8.002e-07
5.3050  1.497e-08  7.931e-07
5.3100  1.492e-08  7.860e-07
5.3150  1.488e-08  7.790e-07
5.3200  1.484e-08  7.720e-07
5.3250  1.480e-08  7.651e-07
5.3300  1.476e-08  7.583e-07
5.3350  1.472e-08  7.516e-07
5.3400  1.467e-08  7.449e-07
5.3450  1.463e-08  7.383e-07
5.3500  1.459e-08  7.317e-07
5.3550  1.455e-08  7.252e-07
5.3600  1.451e-08  7.188e-07
5.3650  1.447e-08  7.124e-07
5.3700  1.443e-08  7.061e-07
5.3750  1.439e-08  6.999e-07
5.3800  1.435e-08  6.937e-07
5.3850  1.431e-08  6.876e-07
5.3889  1.428e-08  6.829e-07
5.3900  1.427e-08  6.815e-07
5.3950  1.423e-08  6.755e-07
5.4000  1.419e-08  6.696e-07
5.4290  1.397e-08  6.362e-07
5.4927  1.349e-08  5.647e-07
5.5512  1.307e-08  5.068e-07
5.5985  1.274e-08  4.647e-07
5.6788  1.221e-08  4.017e-07
5.7063  1.204e-08  3.809e-07
5.8162  1.138e-08  3.089e-07
5.9256  1.076e-08  2.517e-07
5.9282  1.075e-08  2.504e-07
6.0424  1.016e-08  1.997e-07
6.0743  1.000e-08  1.876e-07
6.1588  9.602e-09  1.593e-07
6.1681  9.559e-09  1.565e-07
6.2774  9.078e-09  1.249e-07
6.3983  8.583e-09  9.783e-08
6.4048  8.557e-09  9.655e-08
6.5215  8.114e-09  7.527e-08
6.5526  8.002e-09  7.049e-08
6.6334  7.722e-09  5.951e-08
6.6471  7.676e-09  5.781e-08
6.7751  7.263e-09  4.417e-08
6.8465  7.046e-09  3.810e-08
6.9056  6.872e-09  3.369e-08
6.9683  6.694e-09  2.960e-08
7.0386  6.507e-09  2.563e-08
7.0410  6.501e-09  2.551e-08
7.1741  6.165e-09  1.940e-08
7.2149  6.067e-09  1.785e-08
7.3054  5.856e-09  1.481e-08
7.3123  5.841e-09  1.460e-08
7.3666  5.726e-09  1.307e-08
7.4531  5.548e-09  1.090e-08
7.4944  5.466e-09  1.000e-08
